,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration
48,2010-02-18 00:00:00+00:00,30.85,21.65,25.560417,35.39081,24.738146,29.178663,0,0,42306.086
49,2010-02-19 00:00:00+00:00,30.1,21.65,25.477081,33.71451,24.70207,28.397184,0,0,42346.85
50,2010-02-20 00:00:00+00:00,30.65,21.35,25.82292,35.124348,24.935677,29.062593,0,0,42388.004
51,2010-02-21 00:00:00+00:00,31.0,21.7,26.295835,35.473526,25.174582,29.651468,0,0,42429.516
52,2010-02-22 00:00:00+00:00,31.2,21.35,26.204163,35.811905,24.82937,29.828438,0,0,42471.344
53,2010-02-23 00:00:00+00:00,33.05,23.7,27.477083,37.217186,27.683504,30.883942,0,0,42513.445
54,2010-02-24 00:00:00+00:00,32.6,24.2,27.660418,36.18826,27.983616,30.550924,0,0,42555.8
55,2010-02-25 00:00:00+00:00,33.0,24.3,27.65625,37.033245,28.264748,31.07145,0,0,42598.36
56,2010-02-26 00:00:00+00:00,32.05,22.5,27.020834,36.626987,26.49335,30.730904,0,0,42641.094
57,2010-02-27 00:00:00+00:00,31.35,22.25,26.135414,35.975395,26.219713,30.085093,0,0,42683.97
58,2010-02-28 00:00:00+00:00,32.95,22.15,26.568756,36.524998,26.057459,30.044388,0,0,42726.945
59,2010-03-01 00:00:00+00:00,32.9,21.85,26.472914,37.023792,25.591702,30.051012,0,0,42769.992
60,2010-03-02 00:00:00+00:00,32.45,19.5,25.622917,35.532204,22.01175,28.2229,0,0,42813.08
61,2010-03-03 00:00:00+00:00,31.75,19.25,25.237501,34.533676,21.521698,27.631426,0,0,42856.164
62,2010-03-04 00:00:00+00:00,32.15,21.0,26.166664,34.749737,23.501833,28.627136,0,0,42899.215
63,2010-03-05 00:00:00+00:00,33.25,22.35,27.383331,34.67448,24.996126,29.70639,0,0,42942.21
64,2010-03-06 00:00:00+00:00,33.85,23.95,28.393751,37.10214,26.62378,31.102728,0,0,42985.105
65,2010-03-07 00:00:00+00:00,33.9,24.25,28.320833,39.743065,29.043957,32.863083,0,0,43027.92
66,2010-03-08 00:00:00+00:00,32.75,23.15,27.277082,37.793842,27.449125,31.007895,0,0,43071.008
67,2010-03-09 00:00:00+00:00,32.2,23.1,27.052084,36.290726,27.254513,30.758062,0,0,43114.37
68,2010-03-10 00:00:00+00:00,32.3,23.0,27.195831,37.33384,27.68026,31.52437,0,0,43157.992
69,2010-03-11 00:00:00+00:00,31.65,23.05,27.300001,36.819626,27.361027,31.42399,0,0,43201.832
70,2010-03-12 00:00:00+00:00,31.85,23.0,27.23542,36.54675,26.934555,31.206617,0,0,43245.87
71,2010-03-13 00:00:00+00:00,32.25,23.1,27.233337,37.477055,27.44194,31.680376,0,0,43290.07
72,2010-03-14 00:00:00+00:00,34.35,23.45,28.11875,38.959465,27.635996,32.244774,0,0,43334.402
